Name,Games Played,Points per Game,Field Goals Made,Field Goals Attempts,3 Points Attempts Percentage,TARGET_5Yrs
Keith Askins,39,2.2,0.9,2.1,24,1
Scott Williams,51,2.5,1,2,50,1
Richard Coffey,52,1.3,0.5,1.4,0,0
Steve Scheffler,39,1.5,0.5,1,0,1
David Robinson*,82,24.3,8.4,15.9,0,1
James Young,31,3.4,1.2,3.3,25.8,0
Tim Hardaway,79,14.7,5.9,12.5,27.4,0
Tim Hardaway,79,14.7,5.9,12.5,27.4,1
J.R. Reid,82,11.1,4.4,9.9,0,1
Pooh Richardson,82,11.4,5.2,11.3,27.7,1
Sherman Douglas,81,14.3,5.7,11.6,16.1,1
Sam Mitchell,80,12.7,4.7,10.4,0,1
Glen Rice,77,13.6,6.1,13.9,24.6,1
Glen Rice,77,13.6,6.1,13.9,24.6,0
Mookie Blaylock,50,10.1,4.2,11.4,22.5,1
Sean Elliott,81,10,3.8,8,11.1,1
Blue Edwards,82,8.9,3.5,6.9,30,1
Cory Jefferson,50,3.7,1.5,3.3,13.3,0
Nick Anderson,81,11.5,4.6,9.3,5.9,1
Stacey King,82,8.9,3.3,6.5,0,1
Dana Barros,81,9.7,3.7,9.1,39.9,1
Jeff Martin,69,6.3,2.5,6,13.3,0
Clifford Robinson,82,9.1,3.6,9.2,27.3,1
Winston Bennett,55,6.1,2.5,5.2,0,0
Chucky Brown,75,7.3,2.8,6,0,1
Michael Ansley,72,8.7,3.2,6.5,0,0
Todd Lichti,79,8,3.2,6.5,0,1
Noah Vonleh,25,3.3,1.2,3,38.5,0
B.J. Armstrong,81,5.6,2.3,4.8,50,1
Terry Davis,63,4.7,1.9,4.2,0,1
Shawn Kemp,81,6.5,2.5,5.2,16.7,1
Tom Hammonds,61,5.3,2.1,4.8,0,1
Scott Haffner,43,4.6,2,5,14.3,0
Randy White,55,4.3,1.7,4.6,7.1,1
Kenny Battle,59,4.1,1.6,2.9,25,0
Donald Royal,66,5.9,1.8,3.9,0,1
Michael Carter-Williams,70,16.7,6.1,15.1,26.4,0
Delaney Rudd,77,3.5,1.4,3.4,28.6,0
John Morton,37,3.9,1.3,4.4,23.3,0
Greg Grant,67,3.1,1.2,3.2,18.8,1
Doug Roth,42,1.9,0.9,2,0,0
Byron Irvin,50,5.2,1.9,4.1,35.7,0
Michael Smith,65,5,2.1,4.4,7.1,0
Michael Smith,65,5,2.1,4.4,7.1,1
Michael Smith,82,6.9,2.7,5,0,0
Michael Smith,82,6.9,2.7,5,0,1
George McCloud,44,2.7,1,3.3,32.5,1
Henry Turner,36,4.3,1.6,3.4,0,0
Charles Smith,60,2.9,1,2.2,0,1
Charles Smith,60,2.9,1,2.2,0,1
Charles Smith,60,2.9,1,2.2,0,0
Charles Smith,71,16.3,6.1,12.4,0,1
Charles Smith,71,16.3,6.1,12.4,0,1
Charles Smith,71,16.3,6.1,12.4,0,0
Charles Smith,34,3.5,1.4,3.7,31.9,1
Charles Smith,34,3.5,1.4,3.7,31.9,1
Charles Smith,34,3.5,1.4,3.7,31.9,0
Ed Horton,45,4.5,1.8,3.6,0,0
Trey Burke,70,12.8,4.9,12.8,33,0
Frank Kornet,57,2,0.7,2,25,0
Doug West,52,2.6,1,2.6,27.3,1
Adrian Caldwell,51,1.9,0.8,1.5,0,1
Kenny Payne,35,3.3,1.3,3.1,40,0
Eric Johnson,48,1.1,0.4,1.8,16.7,0
Mike Williams,21,0.7,0.3,0.9,0,0
Mike Morrison,36,2,0.6,1.9,28.6,0
Nate Johnston,21,2.2,0.9,2.3,25,0
Mitch Richmond*,79,22,8.2,17.5,36.7,1
Willie Anderson,81,18.6,7.9,15.9,19,1
Victor Oladipo,80,13.8,4.9,11.7,32.7,0
Hersey Hawkins,79,15.1,5.6,12.3,42.8,1
Kevin Edwards,79,13.8,5.9,14,27,1
Grant Long,82,11.9,4.1,8.4,0,1
Rex Chapman,75,16.9,7,16.9,31.4,1
Brian Shaw,82,8.6,3.6,8.4,0,1
Chris Morris,76,14.1,5.4,11.9,36.6,1
Gary Grant,71,11.9,5.1,11.7,22.7,1
Vernon Maxwell,79,11.7,4.5,10.5,24.8,1
Ben McLemore,82,8.8,3.1,8.3,32,0
Dan Majerle,54,8.6,3.4,8,32.9,1
Sylvester Gray,55,8,3,7.2,25,0
Ricky Berry,64,11,4,8.9,40.6,0
Tom Garrick,71,6.4,2.5,5.1,0,0
Michael Anderson,36,5.7,2,4.9,14.3,0
Michael Anderson,65,7.4,2.9,5.8,0,0
Vinny Del Negro,80,7.1,3,6.3,30,1
Kelvin Upshaw,32,6.8,3.1,6.6,20,0
Derrick Chievous,81,9.3,3.4,7.8,20.8,0
Ledell Eackles,80,11.5,4,9.2,22.5,1
Harvey Grant,71,5.6,2.5,5.5,0,1
Rod Strickland,81,8.9,3.3,7,32.2,1
Scott Brooks,82,5.2,1.9,4.5,35.9,1
Todd Mitchell,24,5.1,1.8,4,0,0
John Shasky,65,5.5,1.9,3.8,0,0
Mark Bryant,56,5,2.1,4.4,0,1
Mark Bryant,36,1.6,0.7,1.6,0,1
Shelton Jones,51,4.8,1.8,4.1,0,0
Eric Leckner,75,4.3,1.6,2.9,0,1
Jerome Lane,54,4.8,2,4.7,0,1
Tim Perry,62,4.1,1.7,3.2,25,1
Jim Les,82,1.7,0.5,1.6,7.1,1
Craig Neal,53,2.2,0.8,2.3,29.4,0
David Rivers,47,2.9,1,2.6,16.7,0
John Starks,36,4.1,1.4,3.5,38.5,1
Andrew Lang,62,2.6,1,1.9,0,1
Bill Jones,37,3.5,1.4,2.8,0,0
Charles Shackleford,60,3.1,1.4,2.8,0,1
Morlon Wiley,51,2.2,0.9,2.2,25,1
Randolph Keys,42,4,1.8,4.1,10,1
Mark Davis,33,3.8,1.5,3.1,10,1
Mark Davis,33,3.8,1.5,3.1,10,0
Mark Davis,57,3.3,1,2.6,30.8,1
Mark Davis,57,3.3,1,2.6,30.8,0
Troy Williams,24,5.3,2.1,5.1,24.4,0
Hollis Thompson,77,6,2.2,4.8,40.1,0
Ron Grandison,72,2.5,0.8,2,0,0
Micheal Williams,49,2.6,1,2.6,22.2,1
Anthony Frederick,46,3.3,1.4,2.7,40,0
Avery Johnson,43,1.6,0.7,1.9,11.1,1
Everette Stephens,35,1.9,0.7,2.1,20,0
Jack Haley,51,2.2,0.7,1.5,0,1
Duane Ferrell,41,2.4,0.9,2,0,1
Mark Jackson,82,13.6,5.3,12.4,25.4,1
Kenny Smith,61,13.8,5.4,11.4,30.8,1
Nate Wolters,58,7.2,2.9,6.7,29,0
Armen Gilliam,55,14.8,6.2,13.1,0,1
Winston Garland,67,12.4,5.1,11.6,33.3,1
Joe Wolf,42,7.6,3.2,8,20,1
Reggie Williams,35,10.4,4.3,12.2,22.4,1
Reggie Williams,35,10.4,4.3,12.2,22.4,1
Greg Anderson,82,11.7,4.6,9.2,20,1
Kevin Johnson,80,9.2,3.4,7.5,20.8,1
Horace Grant,81,7.7,3.1,6.3,0,1
Reggie Miller*,82,10,3.7,7.6,35.5,1
Dennis Hopson,61,9.6,3.6,9,26.7,1
Ken Norman,66,8.6,3.7,7.6,0,1
Ryan Kelly,59,8,2.7,6.3,33.8,0
Scottie Pippen*,79,7.9,3.3,7.1,17.4,1
Derrick McKey,82,8.5,3.1,6.3,36.7,1
Muggsy Bogues,79,5,2.1,5.4,18.8,1
Tellis Frank,78,8.1,3.1,7.2,0,1
Ricky Wilson,24,5.2,1.8,4.6,38.5,0
Dave Hoppen,39,5.7,2.2,4.7,0,1
Dallas Comegys,75,5.6,2.1,4.8,0,0
Mark Acres,79,3.6,1.4,2.6,0,1
Michael Jackson,58,2.7,1.1,2.9,24,0
Tony White,49,5.3,2.3,5.1,0,0
Brad Lohaus,70,4.2,1.7,3.5,23.1,1
Milt Wagner,40,3.8,1.6,3.7,20,0
Chris Dudley,55,3.1,1.2,2.5,0,1
Clinton Wheeler,59,2.5,1.1,2.2,0,0
Billy Donovan,44,2.4,1,2.5,0,0
Reggie Lewis,49,4.5,1.8,3.9,0,1
Martin Nessley,44,1.1,0.5,1.2,0,0
John Stroeder,41,1.9,0.7,1.9,0,0
Bart Kofoed,36,1.3,0.5,1.3,28.6,1
Ray McCallum,45,6.2,2.5,6.7,37.3,0
Ralph Lewis,50,1.7,0.5,1.7,0,0
Ron Harper,82,22.9,9,19.7,21.3,1
Chuck Person,82,18.8,7.7,16.6,35.5,1
Hot Rod Williams,80,14.6,5.4,11.2,0,1
Brad Daugherty,80,15.7,6.1,11.3,0,1
Nate McMillan,71,5.3,2,4.2,0,1
Kenny Walker,68,10.4,4.2,8.5,0,1
Walter Berry,63,15.9,6.5,12.2,0,0
John Williams,78,9.2,3.6,8,22.2,1
Kentavious Caldwell-Pope,80,5.9,2.3,5.8,31.9,0
Brad Sellers,80,8.5,3.5,7.6,20,1
David Wingate,77,8.8,3.4,7.8,25,1
Johnny Dawkins,81,10.3,4.1,9.4,29.8,1
William Bedford,50,6.7,2.8,7.2,0,1
Jeff Hornacek,80,5.3,2,4.4,27.9,1
Roy Tarpley,75,7.5,3.1,6.7,33.3,1
Mark Price,67,6.9,2.6,6.3,32.9,1
John Salley,82,5.3,2,3.5,0,1
Mark Alarie,64,7.9,3.4,6.9,22.2,1
Ben Coleman,68,6.6,2.7,4.6,0,1
Dennis Rodman*,77,6.5,2.8,5.1,0,1
Larry Krystkowiak,68,6.6,2.5,5.5,8.3,1
Kenny Gattison,77,5.2,1.9,4,0,1
Tim Kempton,66,4.4,1.5,3.1,0,1
Harold Pressley,67,4.6,2,4.7,25,0
Kevin Duckworth,65,5.4,2,4.2,0,1
Anthony Jones,65,5,2,5,35,0
Mike Brown,62,4.2,1.7,3.2,0,1
Grant Gondrezick,64,5.5,2.1,4.7,23.5,0
Billy Thompson,59,5.6,2.4,4.4,0,1
Mason Plumlee,70,7.4,2.8,4.3,0,0
Rafael Addison,62,5.8,2.4,5.3,32,1
Chris Washburn,35,3.8,1.6,4.1,0,0
Keith Smith,42,3.3,1.4,3.6,33.3,0
Johnny Newman,59,5,1.9,4.7,4.5,1
Johnny Rogers,45,4.2,2,4.1,0,0
Dell Curry,67,4.9,2.1,4.9,28.3,1
Buck Johnson,60,3.8,1.6,3.4,0,1
Clinton Smith,41,3.1,1.2,2.9,0,0
Dave Feitl,62,3.7,1.4,3.3,0,1
Bob Martin,43,3.4,1.2,3.1,20,0
Bob Martin,53,2.1,0.8,1.7,0,0
Conner Henry,54,2.3,0.9,2.5,31,0
Patrick Ewing,50,20,7.7,16.3,0,0
Xavier McDaniel,82,17.1,7,14.3,20,1
Karl Malone*,81,14.9,6.2,12.5,0,1
Wayman Tisdale,81,14.7,6.4,12.4,0,1
Benoit Benjamin,79,11.1,4.1,8.4,33.3,1
Chris Mullin*,55,14,5.2,11.3,18.5,1
Gerald Wilkins,81,12.5,5.4,11.5,28,1
Joe Dumars*,82,9.4,3.5,7.3,31.3,1
Cody Zeller,82,6,2.1,4.9,0,0
Charles Oakley,77,9.6,3.6,7,0,1
Jon Koncak,82,8.3,3.2,6.3,0,1
Keith Lee,58,7.4,3.1,6.6,22.2,0
Ed Pinckney,80,8.5,3.2,5.7,0,1
A.C. Green,82,6.4,2.5,4.7,16.7,1
Bob Thornton,71,4.7,1.8,3.9,0,1
Terry Catledge,64,7.7,3.2,6.7,0,1
Spud Webb,79,7.8,2.5,5.2,18.2,1
Terry Porter,79,7.1,2.7,5.7,31,1
Marquese Chriss,34,7,2.7,6.3,31,0
Nick Calathes,71,4.9,2,4.4,31.1,0
Carey Scurry,78,4.7,1.8,3.9,9.1,0
Dirk Minniefield,76,5.5,2.2,4.6,27,0
Joe Kleine,80,5.2,2,4.3,0,1
Alfredrick Hughes,68,5.2,2.2,5.5,17.6,0
Ken Johnson,64,4.1,1.8,3.3,0,0
Ken Johnson,64,4.1,1.8,3.3,0,0
Pete Williams,53,2.8,1.3,2.1,0,0
Bill Martin,66,5,2.2,4.5,0,0
Tony Snell,77,4.5,1.7,4.4,32,0
Fred Cofield,45,3.7,1.7,4.1,20,0
Dwayne McClain,45,3.5,1.5,4,11.1,0
John Battle,64,4.3,1.6,3.5,0,1
Jerry Reynolds,55,3.7,1.3,2.9,50,1
Steve Harris,57,4.5,1.8,4.1,20,1
Lorenzo Charles,36,3.4,1.4,2.4,0,0
Sam Vincent,57,3.2,1,2.8,25,1
Blair Rasmussen,48,3.2,1.3,3.1,0,1
Phil Pressey,75,2.8,1,3.4,26.4,0
Michael Jordan*,82,28.2,10.2,19.8,17.3,1
Vern Fleming,80,14.1,5.4,11.5,0,1
Sam Bowie,76,10,3.9,7.3,0,1
Charles Barkley*,82,14,5.2,9.5,16.7,1
Sam Perkins,82,11,4.2,9,25,1
Jay Humphries,80,8.8,3.5,7.8,20,1
Melvin Turpin,79,10.6,4.6,9,0,1
Otis Thorpe,82,12.8,5,8.4,0,1
Kevin Willis,82,9.3,3.9,8.4,22.2,1
Michael Cage,75,7.1,2.9,5.3,0,1
Alvin Robertson,79,9.2,3.8,7.6,36.4,1
Tim McCormick,78,9.3,3.4,6.2,0,1
Charles Jones,78,8.4,3,5.8,0,1
Charles Jones,78,8.4,3,5.8,0,0
Charles Jones,78,8.4,3,5.8,0,0
Charles Jones,29,3.7,1.3,4.2,31.1,1
Charles Jones,29,3.7,1.3,4.2,31.1,0
Charles Jones,29,3.7,1.3,4.2,31.1,0
Jeff Turner,72,5.8,2.4,5.2,0,1
Tony Brown,82,6.6,2.6,5.7,0,1
Antoine Carr,62,8,3.2,6,33.3,1
Steve Colter,78,7.1,2.8,6.1,35.1,1
Ken Bannister,75,6.8,2.8,5.9,0,1
John Stockton*,82,5.6,1.9,4.1,18.2,1
Terence Stansbury,74,7.1,2.8,6.2,16,0
Othell Wilson,74,4.4,1.8,3.9,18.8,0
Eddie Lee Wilkins,54,5.5,2.1,4.3,0,1
Chuck Aleksinas,74,5.1,2.2,4.6,0,0
Ron Anderson,36,5.8,2.3,5.4,50,1
Frank Brickowski,78,4.9,1.9,3.9,0,1
Ozell Jones,67,3.7,1.6,2.7,0,0
Devin Durrant,59,5.1,1.9,4.6,0,0
Jerome Kersey,77,6.1,2.3,4.8,0,1
Ron Cavenall,53,1.5,0.5,1.6,0,0
Jim Petersen,60,3.2,1.2,2.4,0,1
Tony Campbell,56,5.6,2.3,4.7,0,1
Lancaster Gordon,63,4.1,1.7,4.6,22.2,0
Gary Plummer,66,3.8,1.4,3.5,25,0
Kenny Fields,51,3.8,1.6,3.7,0,0
Cory Blackwell,60,3.4,1.5,4,0,0
Bernard Thompson,59,3.3,1.3,3.6,0,1
Peter Thibeaux,51,4.5,1.8,3.8,0,0
Steve Burtt,47,4.2,1.5,4,0,0
Leon Wood,38,3.2,1.3,3.5,13.3,1
Charlie Sitton,43,2.1,0.9,2.2,0,0
Tom Scheffler,39,1.3,0.5,1.3,0,0
Willie White,39,3.3,1.3,3.2,36.4,0
Chris Smith,80,4.3,1.6,3.6,14.3,0
Chris Smith,80,4.3,1.6,3.6,14.3,0
Brent Price,68,3.9,1.5,4.1,16.7,1
Marlon Maxey,43,5.4,2.2,3.9,0,0
Litterial Green,52,4.5,1.7,3.8,10,1
Jon Barry,47,4.4,1.6,4.4,33.3,1
